reviewText,overall,sentiment
cuts and edges were not even close to even or straight,2.0,negative
"Didn't operate out of the package, being sent back - in dead quiet room with NO sound at all this registered 50dBL.",1.0,negative
"Quick and easy.  Homemade is obviously better, but as this was marketed as a quick-make, it serves its role.  As with all such mixes, it can be doctored up any number of ways while still retaining the fast and easy aspect.",4.0,positive
"LOVE this tasty, aromatic rice.  It's a great base for fancy dishes but I often enjoy it with just a little butter.  Easy to make and yummy!",5.0,positive
good protuct!,5.0,positive
"Bought two, one was DOA. It always thinks it night time",1.0,negative
Excelent.,5.0,positive
"Although they were edible, we did not like these at all. I'd stick to canned, refrigerated, or fresh fruit.",1.0,negative
"Nice size box of sheer, flexible Band-Aid bandages at a reasonable price. I am happy with the varying sizes and styles to fit different sized wounds on various areas of the body. Good product.",4.0,positive
the plastic bag inside came open.,1.0,negative
I love this chili toped with cheese.,5.0,positive
Nice scent.,4.0,positive
A staple in our home! Always fresh.,5.0,positive
Tasted awful to me.,1.0,negative
Good ol' reliable Quaker!  We usually fix oatmeal -- old-fashioned variety... especially during the cooler months. This is a nice switch and it makes a nice snack too.,4.0,positive
Very good!,5.0,positive
"We cook a lot of Italian dishes in our house, some of which call for bread crumbs. We've tried a number of different brands and find that the Progresso bread crumbs are the best. They've got a great, spicy flavor, one that works particularly well in Italian meatballs. And our meatballs seem to hold together really nicely with them as well. Having settled on these, I don't think we'll be going back to any other brand of bread crumbs.",5.0,positive
"It is cheap, poorly made, doesn't track straight, and is a very poor substitute for a real vise. The price point is right for the quality but don't expect much, even if you take it apart and clean it up, it is still a cheap, marginally functional vise.",2.0,negative
The spicy taste of jalapeno is great in these trans-fat free chips. The great price makes them perfect for school lunch.,5.0,positive
too expensive for what you get.,2.0,negative
"amazon prime has alot of what I need for kitchen staples, good selection!",5.0,positive
The bread crumbs themselves are a great product and their sisters with Italian taste. But the box was so damaged that there were crumbs leaking out in the hall where the deliver driver had left the package,2.0,negative
King Arthur's website gave the impression that this could be used instead of white flour and that's not the case. I make homemade unkneaded bread and never had a failure before. This flour was awful. I tried it twice and it was the same thing. I have almost two whole bags and will use it up by adding white flour to it.,2.0,negative
This is the best face moisturizer I have ever used and I have used it for years,2.0,negative
tastes good.,4.0,positive
"It's difficult in the winter to get fresh peaches at the supermarket and if you do, they are hard as rocks and don't ripen right.  These are for the kids lunchboxes (they go into little tupperware like containers).  Like that they are packed in juice and not sugary syrup",5.0,positive
Did not work in Mag Flashlite.,1.0,negative
"Very dry - probably stale.  Not either chewy, nor crispy.  Just dry.",2.0,negative
